incident_id,service,event_type,timestamp,severity,description,actor,related_ticket_id,related_deployment_id
INC-4019,auth,ALERT_FIRED,2024-06-14T09:00:00Z,P1,Automated alert: 401 error rate exceeded 10% threshold on auth service,pagerduty,TKT-80033,
INC-4019,auth,TICKET_OPENED,2024-06-14T09:00:00Z,P1,Customer support ticket opened: users being logged out mid-session,customer-support,TKT-80033,
INC-4019,auth,INVESTIGATION_START,2024-06-14T09:05:00Z,P1,On-call engineer paged; initial hypothesis is load balancer sticky session drop,alice@example.com,TKT-80033,
INC-4019,auth,TICKET_OPENED,2024-06-14T09:15:00Z,P1,Automated alert: JWT signature mismatch on 12% of token validations since secret rotation,automated-alert,TKT-31077,deploy-153045
INC-4019,auth,ROOT_CAUSE_IDENTIFIED,2024-06-14T09:25:00Z,P1,Root cause confirmed: JWT secret rotation at 09:15 did not retain old key in JWKS endpoint; old tokens rejected,alice@example.com,TKT-31077,deploy-153045
INC-4019,auth,TICKET_OPENED,2024-06-14T09:20:00Z,P1,Ticket opened: Login broken after maintenance - Invalid credentials for correct passwords,customer-support,TKT-14857,
INC-4019,auth,MITIGATION_APPLIED,2024-06-14T09:45:00Z,P1,Previous JWT signing key added back to JWKS endpoint; new token validations succeeding,alice@example.com,TKT-31077,
INC-4019,auth,DEPLOYMENT,2024-06-14T10:10:00Z,P1,Hotfix v2.14.1 deployed: dual-key JWKS validation restored; ~3400 sessions invalidated requiring re-login,alice@example.com,TKT-31077,deploy-hotfix-auth-2141
INC-4019,auth,MONITORING,2024-06-14T10:15:00Z,P2,401 error rate dropping; monitoring for 30 minutes before marking resolved,alice@example.com,,
INC-4019,auth,RESOLVED,2024-06-14T10:45:00Z,P2,INC-4019 resolved: error rate back to baseline; post-mortem scheduled; key rotation runbook to be updated,alice@example.com,TKT-31077,
INC-4021,payments,ALERT_FIRED,2024-06-14T11:58:00Z,P1,Stripe status page reports degraded performance on payments API; circuit breaker opened on gateway→payments edge,pagerduty,TKT-59018,
INC-4021,payments,TICKET_OPENED,2024-06-14T12:00:00Z,P1,Customer ticket: payments service timing out; checkout hanging indefinitely,security-team,TKT-62950,
INC-4021,payments,TICKET_OPENED,2024-06-14T12:05:00Z,P1,Customer email: cards charged but orders not placed; suspected race condition,customer-support,TKT-80599,
INC-4021,payments,INVESTIGATION_START,2024-06-14T12:08:00Z,P1,On-call engineer engaged; confirmed Stripe degraded on Stripe status page; no infra action needed,bob@example.com,TKT-59018,
